i,lexeme,sparsity_increase,norm_sparsity_increase,entropy_increase
0,that,-0.6133406426627586,-0.011922470707885435,0.05972040367526854
1,have,-0.4964072429918378,-0.011725615135185774,0.2681362797899469
2,but,-0.5625876273310739,-0.013605045533846782,-0.16590761027182216
3,we,-0.768472265201134,-0.03552376619982134,0.2985722607829802
4,shall,-0.3380679747474087,0.007775164548205704,1.7989358303262444
5,be,-0.4866728510878673,0.004614352845968228,1.0046741295393136
6,this,-0.7357560800452143,-0.024586640329477216,-2.4414625888062167
7,god,-0.31714840118224696,-0.009123479210906282,0.04555283777111391
8,man,-0.5774139548211714,-0.0003034877196295138,-0.5778664020341726
9,mid,-0.5694001664623407,-0.0006031037023095376,-0.1280540819803272
10,so,-0.3427906582894833,0.03166450217994743,0.8042870711909145
11,the,-0.629268899108439,-0.013647993160781802,0.11595387633068999
12,all,-0.6374985024170607,-0.020918865094175065,0.08381175732864413
13,say,-0.5359424682292291,0.007874512864936123,0.5754563975930638
14,other,-0.42972959390905263,-0.009667943700040538,1.4500912962328885
15,which,-0.3920164181585344,0.00340148184857747,-0.4457548566931706
16,king,-0.6723266115587476,-0.0064727335279337606,-0.65412344635844
17,lord,-0.6669430451143281,-0.03206491633487485,1.4650971657603873
18,hit,-0.6338752183349259,-0.0108472600101025,0.0
19,any,-0.4369472648849744,0.014264171181410878,1.0998244354005442
20,do,-0.4035809992637791,0.006046724529596981,0.8136490106953649
21,thou,-0.6778787215188249,-0.013057603010490304,0.8833434542777503
22,day,-0.48286494708313565,-0.0036358115210599617,-0.7072757369844926
23,from,-0.39796801464936493,0.020188468447168595,0.0
24,come,-0.5628009410224344,-0.017854543923075616,-0.4398254202679599
25,what,-0.5965116376248236,-0.004326821578977236,0.2672484791272059
26,good,-0.38484579654138606,0.02600476054067591,0.3993955298867344
27,your,-0.37946651126036013,0.013351761893458103,0.40211668955872426
28,hi,-0.5901906917698785,-0.002725311342327119,0.0
29,O,-0.35172300378079147,0.024838467160561484,0.17556502585750278
30,V,-0.6514831986887453,-0.00834483319455892,0.5874927608138896
31,such,-0.35438991116619434,0.01243432450706472,1.0413015295071175
32,through,-0.4321072887178765,-0.0022464316830423936,2.282969060527457
33,hine,-0.7751633823099748,-0.03491386282010178,-0.028063207759811
34,goddess,0.039176947290505915,0.012174618566597517,0.7547077827040747
35,same,-0.6972192039835523,-0.026901237558030977,0.0
36,before,-0.21744264538379632,0.016971670519447035,2.491655186659905
37,w'el,-0.5177986120970761,0.00028943142071502503,0.0
38,with,-0.5524242674493465,0.0013738431828601572,1.1270084873730772
39,can,-0.5960603580556949,-0.02041966451318955,-0.7124082254819197
40,after,-0.5355986352710662,-0.010013369810294437,2.4640506659362926
41,take,-0.3442330380018932,0.013924710931421891,1.6503773824170813
42,ben,-0.4939462941985102,0.0027407404411087244,0.0
43,hire,-0.5122976864652733,-0.007723017040470959,0.01105130124015937
44,well,-0.5273922809245217,-0.0028427406880672246,-0.18490760292025665
45,may,-0.4642046681032399,-0.005311541948240794,1.691417641349818
46,Ge,-0.49875659000947614,0.004054892132931753,0.2761954276479391
47,many,-0.5138843278591549,-0.0014659391203390992,-0.9627538739665744
48,father,-0.47708596108603185,-0.0007141405727115746,3.1673206885014618
49,go,-0.3736446227865091,0.012431210936976744,0.20832592913020243
50,these,-0.9488314827479005,-0.05477164150919389,0.650247429892802
51,ale,-0.5585622125247003,-0.0036139144043870752,1.206021371262868
52,see,-0.3155895199089862,0.012038435439334694,-0.39182209845920557
53,than,-0.30277682751974133,0.02465725304653854,0.01960490462926212
54,where,-0.5953660192537713,-0.012927845809691307,-0.35195287367051886
55,Christ,-0.5102942394482071,-0.013445602288107428,0.6176838882720906
56,never,-0.5018747147264238,-0.014809934534188884,2.694860618150489
57,worth,-0.4652243692144076,0.019099467523966296,0.583770772695114
58,yet,-0.2858207513320332,0.026718038176412384,0.7535428973647087
59,know,-0.23106457700937977,0.012589588349756764,3.0185170296200865
60,great,-0.26502180986866364,0.031057495964872506,0.22285481439986543
61,S,-0.5107269845834761,0.006521057065283609,1.6121537740934802
62,again,-0.42815257122753003,0.007350027583057583,2.5878646587228813
63,little,-0.31336187511847946,0.005095426077049936,2.2531818193986854
64,nought,-0.3101460794808082,0.009528087373491756,1.0756309157366712
