i,lexeme,sparsity_increase,norm_sparsity_increase,entropy_increase
0,that,0.1721553160138436,-0.027697620108542043,-0.6992220757264331
1,have,0.30267009276628976,-0.015441630343852264,-3.169280795787154
2,but,0.40596421894503365,0.023463239303936678,-0.06604995313133141
3,not,0.30668245743710276,-0.007472862467002517,0.0
4,we,0.5497502545130031,0.024815782368378003,-0.7039189914153381
5,shall,0.4891257850740942,0.0024095756733515383,-3.22881276086313
6,be,0.3292129997774538,-0.004673139615415489,-3.9979930492568125
7,this,0.36474539130770633,0.017243405412538992,-0.4779379506343191
8,god,0.24788369419738832,0.019412248135178944,0.38151669872529953
9,man,0.12388469864758012,-0.017749840873909295,-0.4848625690017692
10,mid,0.32598322709089267,-0.008411987943057087,1.0349990486528444
11,so,0.5430328468161916,-0.01724651457380577,-1.1462937349387505
12,the,0.3512844850709671,0.0002143036106057039,-2.8786452784415157
13,you,0.46738676833170256,0.014370457231843603,-1.0376108214240638
14,all,0.45238416596231357,-0.025857785793971133,-0.24923620469551352
15,say,0.16311836118597434,-0.025480579865178266,-1.1110777239527758
16,other,0.30842468912585375,-0.022022668829588365,-2.778523721563831
17,they,0.014110302186256973,-0.04279365613451769,-0.5141731514955099
18,which,0.38154384153848486,0.018378119636159984,-1.3638817408101616
19,king,0.39444451336423114,-0.012418931904137898,0.23308994441495234
20,lord,-0.1275617225612633,-0.012778201209205697,-1.1249206879353337
21,hit,0.26759916612554857,-0.030923320403312693,0.15649106290570153
22,any,0.18997683824026357,-0.023858533058202847,-1.0968693366173532
23,do,0.3419065948706663,-0.008961925587510633,-2.691936573347351
24,thou,0.09436914603643487,-0.03802082322195799,-0.8833434542777503
25,day,0.1474364913811872,-0.019145386642088758,-1.2658438785876875
26,from,0.33438858109914626,-0.004698802311867367,0.0
27,come,0.39738689700403285,-0.01833270744364135,-2.125001373346848
28,what,0.20662769316156293,-0.027017425401124506,-0.3926505675805203
29,good,0.421014000541982,0.007268964533919897,-0.4510405002121409
30,your,0.41135677710535123,0.016271044975851745,-1.2279040531103518
31,hi,0.3443809708008372,-0.0035102537663589395,0.0
32,unto,0.31181146576419305,-0.001929343390163596,-0.17930536395146834
33,O,0.1698209356124245,-0.027641607860376283,-0.17556502585750278
34,V,0.43823013658945076,0.005691582181797772,-0.3140965587864535
35,their,0.3164292203489829,0.0032989847455916488,-2.1069623262358244
36,such,0.12445661417774811,-0.019240929925674277,-2.828330194229985
37,through,0.6892441167296353,-0.011227756218318397,-1.3266876427958314
38,goddess,0.29613966092130894,-0.0051539904408135495,-0.20147321198995682
39,same,0.32109333620132663,-0.0036337779973329987,0.0
40,also,0.3727554683529988,-0.007351562886073082,0.2461678427569564
41,before,0.2199550132925907,-0.0019166425296238687,-3.2046404413132326
42,w'el,0.454458582144202,0.012801332889232131,0.0
43,can,0.4024866459324876,0.0020690651772875546,-1.564377116801533
44,after,0.263589340584625,0.0017198330963867914,-2.2407941938515332
45,take,0.11138330225045667,-0.03175148925188065,-0.4359713640416165
46,ben,0.4384758131267681,0.012710699203640985,0.0
47,sir,0.2801374781671866,-0.010799140180182132,-0.0318285616962141
48,hire,0.2875496751650317,-0.001940456268002655,-0.01105130124015937
49,well,0.4501708306400314,0.02384823010524595,-0.5799199089959903
